No,Ligand Name,Canonical SMILES,InChIKey,DOI or link to data source,Albumin source organism,"Albumin concentration, μM",Albumin modifications,"Ligand concentration, μM",pH,Buffer,"Buffer concentration, M","Temperature, K",Method,Method details,Model,Ka in M scale,Kd in M scale,n,"ΔH, kJ/mol",Ka2,Kd2,n2,ΔH2,Tag,Ligand ChEMBL ID,Assay ChEMBL ID or BindingDB Ref
725,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.1211/jpp.58.11.0007,Bos taurus,336,,0-7200,7.4,Phosphate,0.1,298,Potentiometry,,Scatchard,443000,,4.18,,5.50E+03,,12.41,,,,
726,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.1016/0006-2952(80)90378-0,Homo sapiens,,,0-3996.787,7.4,Phosphate,,310,Equilibrium dialysis,,Scatchard,1110000,,1.8,,4.00E+04,,5,,,,
727,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.1016/j.ejpb.2013.01.013,Homo sapiens,1,,0-2,7.5,Phosphate,0.02,298,Fluorescence spectroscopy,λex 280nm,Double logarithmic plot,1.44E+05,,,,,,,,,,
728,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.1016/j.jinorgbio.2011.09.004,Homo sapiens,3,,0-24,7,"Citrate, 0.15 M NaCl",0.015,room,Fluorescence spectroscopy,λex 296 nm,Scatchard,1.22E+05,,0.53,,,,,,,,
729,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.1016/j.jinorgbio.2011.09.004,Homo sapiens,3,,0-24,7,"Citrate, 0.15 M NaCl",0.015,room,Fluorescence spectroscopy,λex 296 nm,Stern-Volmer,2.67E+04,,,,,,,,,,
730,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.1021/acs.jmedchem.7b00787,Homo sapiens,,,,,,,,,,,,3.00E-06,,,,,,,BindingDB,CHEMBL898,50756928
731,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.1021/jm7012826,Homo sapiens,100,,50,7.4,"Phosphate, 0.75% DMSO",0.068,room,Parallel artificial membrane permeation assay,,,,1.23E-06,,,,,,,BindingDB,CHEMBL898,51036136
732,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.1023/A:1018901912619,Homo sapiens,338,,1-6000,7.4,Phosphate,0.1,298,Potentiometry,,Scatchard,126300,,3.44,,3.00E+03,,7.92,,,,
733,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.1211/jpp.58.11.0007,Homo sapiens,336,,0-7200,7.4,Phosphate,0.1,298,Potentiometry,,Scatchard,548000,,4.28,,6.90E+03,,7.75,,,,
734,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.3390/ph14030214,Homo sapiens,4.5,,1.8-63,7.4,"Phosphate, 140 mM of chloride",0.01,293,Fluorescence spectroscopy,+ synchronous fluorescence,STAR program,5.50E+05,,1,,,,,,,,
735,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.3390/ph14030214,Homo sapiens,4.5,,1.8-63,7.4,"Phosphate, 140 mM of chloride",0.01,293,Fluorescence spectroscopy,+ synchronous fluorescence,STAR program,3.72E+04,,2,,,,,,,,
736,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.3390/ph14030214,Homo sapiens,4.5,,1.8-63,7.4,"Phosphate, 140 mM of chloride",0.01,298,Fluorescence spectroscopy,+ synchronous fluorescence,STAR program,7.24E+05,,1,,,,,,,,
737,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.3390/ph14030214,Homo sapiens,4.5,,1.8-63,7.4,"Phosphate, 140 mM of chloride",0.01,298,Fluorescence spectroscopy,+ synchronous fluorescence,STAR program,5.01E+04,,2,,,,,,,,
738,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.3390/ph14030214,Homo sapiens,4.5,,1.8-63,7.4,"Phosphate, 140 mM of chloride",0.01,310,Fluorescence spectroscopy,+ synchronous fluorescence,STAR program,4.17E+05,,1,,,,,,,,
739,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.3390/ph14030214,Homo sapiens,4.5,,1.8-63,7.4,"Phosphate, 140 mM of chloride",0.01,310,Fluorescence spectroscopy,+ synchronous fluorescence,STAR program,3.09E+04,,2,,,,,,,,
740,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.3390/ph14030214,Homo sapiens,4.5,,1.8-63,7.4,"Phosphate, 140 mM of chloride",0.01,298,Fluorescence spectroscopy,λex 285 nm,Double logarithmic plot,,,,,,,,,,,
741,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.3390/ph14030214,Homo sapiens,4.5,,1.8-63,7.4,"Phosphate, 140 mM of chloride",0.01,298,Synchronous fluorescence,Δλ 15 nm,Double logarithmic plot,1.26E+05,,1.09,,,,,,,,
742,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.3390/ph14030214,Homo sapiens,4.5,,1.8-63,7.4,"Phosphate, 140 mM of chloride",0.01,298,Synchronous fluorescence,Δλ 60 nm,Double logarithmic plot,2.00E+05,,1.04,,,,,,,,
743,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.5599/admet.6.1.473,Homo sapiens,3,,0-14,7.4,"Phosphate, 0.137 M NaCl, 0.0027 M KCl",0.01,298,Fluorescence spectroscopy,λex 296 nm,Double logarithmic plot,158489.319246112,,1.01,,,,,,,,
744,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.5599/admet.6.1.473,Homo sapiens,3,,0-14,7.4,"Phosphate, 0.137 M NaCl, 0.0027 M KCl",0.01,298,Fluorescence spectroscopy,λex 296 nm,STAR program,151356.124843621,,1,,,,,,,,
745,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.5599/admet.6.1.473,Homo sapiens,3,,0-14,7.4,"Phosphate, 0.137 M NaCl, 0.0027 M KCl",0.01,298,Fluorescence spectroscopy,λex 296 nm,STAR program,630957.344480194,,1,,5.01E+04,,2,,,,
746,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.5599/admet.6.1.473,Homo sapiens,3,,0-14,7.4,"Phosphate, 0.137 M NaCl, 0.0027 M KCl",0.01,298,Synchronous fluorescence,Δλ 15 nm,Double logarithmic plot,125892.541179417,,1.09,,,,,,,,
747,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.5599/admet.6.1.473,Homo sapiens,3,,0-14,7.4,"Phosphate, 0.137 M NaCl, 0.0027 M KCl",0.01,298,Synchronous fluorescence,Δλ 15 nm,STAR program,79432.8234724282,,1,,,,,,,,
748,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.5599/admet.6.1.473,Homo sapiens,3,,0-14,7.4,"Phosphate, 0.137 M NaCl, 0.0027 M KCl",0.01,298,Synchronous fluorescence,Δλ 15 nm,STAR program,275422.870333817,,1,,2.75E+05,,2,,,,
749,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.5599/admet.6.1.473,Homo sapiens,3,,0-14,7.4,"Phosphate, 0.137 M NaCl, 0.0027 M KCl",0.01,298,Synchronous fluorescence,Δλ 60 nm,Double logarithmic plot,199526.231496888,,1.04,,,,,,,,
750,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.5599/admet.6.1.473,Homo sapiens,3,,0-14,7.4,"Phosphate, 0.137 M NaCl, 0.0027 M KCl",0.01,298,Synchronous fluorescence,Δλ 60 nm,STAR program,218776.162394955,,1,,,,,,,,
751,Diflunisal,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,10.5599/admet.6.1.473,Homo sapiens,3,,0-14,7.4,"Phosphate, 0.137 M NaCl, 0.0027 M KCl",0.01,298,Synchronous fluorescence,Δλ 60 nm,STAR program,501187.233627273,,1,,3.16E+04,,2,,,,
752,Digitoxin,O=C1OCC(=C1)[C@H]1CC[C@]2([C@]1(C)CC[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O,WDJUZGPOPHTGOT-XUDUSOBPSA-N,10.1002/jps.10293,Homo sapiens,0.752,,0.1-1000,7.4,"Phosphate, 150 mM NaCl",0.01,298,Surface plasmon resonance,,,,3.8E-05,,,,,,,,,
753,Digitoxin,O=C1OCC(=C1)[C@H]1CC[C@]2([C@]1(C)CC[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O,WDJUZGPOPHTGOT-XUDUSOBPSA-N,10.1007/BF03189456,Homo sapiens,75,,,7.4,,,310,Equilibrium dialysis,,,7.32E+04,,,,,,,,,,
754,Digitoxin,O=C1OCC(=C1)[C@H]1CC[C@]2([C@]1(C)CC[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O,WDJUZGPOPHTGOT-XUDUSOBPSA-N,10.1042/bj2250629,Homo sapiens,376,,0-10,7,Phosphate,0.33,293,Ultrafiltration,,Klotz,1.50E+05,,1,,,,,,,,
755,Digitoxin,O=C1OCC(=C1)[C@H]1CC[C@]2([C@]1(C)CC[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O,WDJUZGPOPHTGOT-XUDUSOBPSA-N,10.1111/j.1600-0773.1976.tb03145.x,Homo sapiens,301,,0-6.536,6.98,"Water, NaCl",0.16,310,Equilibrium dialysis,,,4.68E+04,,,,,,,,,,
756,Digitoxin,O=C1OCC(=C1)[C@H]1CC[C@]2([C@]1(C)CC[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O,WDJUZGPOPHTGOT-XUDUSOBPSA-N,10.1111/j.1600-0773.1976.tb03145.x,Homo sapiens,301,,0-6.536,6.98,"Water, NaCl",0.16,310,Equilibrium dialysis,,,6.17E+04,,,,,,,,,,
757,Digitoxin,O=C1OCC(=C1)[C@H]1CC[C@]2([C@]1(C)CC[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O,WDJUZGPOPHTGOT-XUDUSOBPSA-N,10.1111/j.1600-0773.1976.tb03145.x,Homo sapiens,301,,0-6.536,7.01,"Water, NaCl",0.16,310,Equilibrium dialysis,,,5.89E+04,,,,,,,,,,
758,Digitoxin,O=C1OCC(=C1)[C@H]1CC[C@]2([C@]1(C)CC[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O,WDJUZGPOPHTGOT-XUDUSOBPSA-N,10.1111/j.1600-0773.1976.tb03145.x,Homo sapiens,301,,0-6.536,7.04,"Water, NaCl",0.16,310,Equilibrium dialysis,,,3.89E+04,,,,,,,,,,
759,Digitoxin,O=C1OCC(=C1)[C@H]1CC[C@]2([C@]1(C)CC[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O,WDJUZGPOPHTGOT-XUDUSOBPSA-N,10.1186/1472-6904-4-4,Homo sapiens,602,,20-400,7.4,Phosphate,,310,Ultrafiltration,,Scatchard,,5.65E-05,1.8,,,,,,,,
760,Diltiazem,COc1ccc(cc1)[C@@H]1Sc2ccccc2N(C(=O)[C@@H]1OC(=O)C)CCN(C)C,HSUGRBWQSSZJOP-RTWAWAEBSA-N,10.9734/JALSI/2018/43574,Bos taurus,1,,250-1000,7.4,Tris-HCl,0.05,288,Fluorescence spectroscopy,,Double logarithmic plot,1.38E+04,,1.1473,,,,,,,,
761,Diltiazem,COc1ccc(cc1)[C@@H]1Sc2ccccc2N(C(=O)[C@@H]1OC(=O)C)CCN(C)C,HSUGRBWQSSZJOP-RTWAWAEBSA-N,10.9734/JALSI/2018/43574,Bos taurus,1,,250-1000,7.4,Tris-HCl,0.05,298,Fluorescence spectroscopy,,Double logarithmic plot,5.18E+03,,0.9983,,,,,,,,
762,Diltiazem,COc1ccc(cc1)[C@@H]1Sc2ccccc2N(C(=O)[C@@H]1OC(=O)C)CCN(C)C,HSUGRBWQSSZJOP-RTWAWAEBSA-N,10.9734/JALSI/2018/43574,Bos taurus,1,,250-1000,7.4,Tris-HCl,0.05,308,Fluorescence spectroscopy,,Double logarithmic plot,5.04E+03,,0.9122,,,,,,,,
763,Diltiazem,COc1ccc(cc1)[C@@H]1Sc2ccccc2N(C(=O)[C@@H]1OC(=O)C)CCN(C)C,HSUGRBWQSSZJOP-RTWAWAEBSA-N,10.9734/JALSI/2018/43574,Bos taurus,1,,250-1000,7.4,Tris-HCl,0.05,288,Fluorescence spectroscopy,,Stern-Volmer,9.37E+02,,,,,,,,,,
764,Diltiazem,COc1ccc(cc1)[C@@H]1Sc2ccccc2N(C(=O)[C@@H]1OC(=O)C)CCN(C)C,HSUGRBWQSSZJOP-RTWAWAEBSA-N,10.9734/JALSI/2018/43574,Bos taurus,1,,250-1000,7.4,Tris-HCl,0.05,298,Fluorescence spectroscopy,,Stern-Volmer,5.31E+02,,,,,,,,,,
765,Diltiazem,COc1ccc(cc1)[C@@H]1Sc2ccccc2N(C(=O)[C@@H]1OC(=O)C)CCN(C)C,HSUGRBWQSSZJOP-RTWAWAEBSA-N,10.9734/JALSI/2018/43574,Bos taurus,1,,250-1000,7.4,Tris-HCl,0.05,308,Fluorescence spectroscopy,,Stern-Volmer,5.02E+02,,,,,,,,,,
766,Diltiazem,COc1ccc(cc1)[C@@H]1Sc2ccccc2N(C(=O)[C@@H]1OC(=O)C)CCN(C)C,HSUGRBWQSSZJOP-RTWAWAEBSA-N,10.1007/BF02975854,Homo sapiens,40,,1-200,7.4,Phosphate (isotonic),,310,Equilibrium dialysis,,Rosenthal,580000,,,,2.85E+06,,,,,,
767,Diltiazem,COc1ccc(cc1)[C@@H]1Sc2ccccc2N(C(=O)[C@@H]1OC(=O)C)CCN(C)C,HSUGRBWQSSZJOP-RTWAWAEBSA-N,10.1007/BF02975854,Homo sapiens,40,,1-200,7.4,Phosphate (isotonic),,310,Equilibrium dialysis,,Scatchard,142000,,1.19,,8.00E+03,,1.15,,,,
768,Diltiazem,COc1ccc(cc1)[C@@H]1Sc2ccccc2N(C(=O)[C@@H]1OC(=O)C)CCN(C)C,HSUGRBWQSSZJOP-RTWAWAEBSA-N,10.1016/j.chroma.2010.05.021,Homo sapiens,10,,0-150,9.5,Phosphate,0.01,room,Ultrasonic microdialysis,,,6.30E+04,,5.9,,,,,,,,
769,Diltiazem,COc1ccc(cc1)[C@@H]1Sc2ccccc2N(C(=O)[C@@H]1OC(=O)C)CCN(C)C,HSUGRBWQSSZJOP-RTWAWAEBSA-N,10.1016/S0731-7085(02)00223-6,Homo sapiens,0-400,,50,7.4,Phosphate (DPBS),0.0095,298,Pressure-assisted capillary electrophoresis/frontal analysis ,,,5.90E+02,,,,,,,,,,
770,Diphenhydramine,CN(CCOC(c1ccccc1)c1ccccc1)C,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,https://www.impactjournals.us/download/archives/2-14-1445251709-11.applied%20-%20Analysis%20of%20Interaction%20between%20Diphenhydramine%20and%20Homo sapiens%20Serum%20Albumin.pdf,Homo sapiens,72.5,,,7,Phosphate,0.1,293,Equilibrium dialysis,,Scatchard,5.99E+03,,,,,,,,,,
771,Diphenhydramine,CN(CCOC(c1ccccc1)c1ccccc1)C,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,https://www.impactjournals.us/download/archives/2-14-1445251709-11.applied%20-%20Analysis%20of%20Interaction%20between%20Diphenhydramine%20and%20Homo sapiens%20Serum%20Albumin.pdf,Homo sapiens,72.5,,,7,Phosphate,0.1,303,Equilibrium dialysis,,Scatchard,3.73E+03,,,-34.85,,,,,,,
772,Diphenhydramine,CN(CCOC(c1ccccc1)c1ccccc1)C,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,https://www.impactjournals.us/download/archives/2-14-1445251709-11.applied%20-%20Analysis%20of%20Interaction%20between%20Diphenhydramine%20and%20Homo sapiens%20Serum%20Albumin.pdf,Homo sapiens,72.5,,,7,Phosphate,0.1,313,Equilibrium dialysis,,Scatchard,2.40E+03,,,,,,,,,,
773,"Disodium (2R)-2-({[(8Z,8'Z)-8'-({[(1R)-1-Carboxylato-2-Sulfanylethyl]Amino}Methylidene)-1,1',6,6'-Tetrahydroxy-5,5'-Diisopropyl-3,3'-Dimethyl-7,7'-Dioxo-[2,2'-Binaphthalen]-8-Ylidene]Methyl}Amino)-3-Sulfanylpropanoate",SC[C@@H](C(=O)[O-])N/C=C/1\C(=O)C(=C(c2c1c(O)c(c(c2)C)c1c(C)cc2c(c1O)/C(=C/N[C@H](C(=O)[O-])CS)/C(=O)C(=C2C(C)C)O)C(C)C)O.[Na+].[Na+],MYUQCSBSJTXLFJ-SNIOXSNQSA-L,10.1016/j.bmcl.2011.12.076,Homo sapiens,,,,,,,,Fluorescence spectroscopy,,,8202,,,,,,,,CHEMBL,CHEMBL1949742,CHEMBL1953042
774,"Disodium (2S)-2-({[(8Z,8'Z)-8'-({[(1S)-1-Carboxylato-2-(1H-Imidazol-4-Yl)Ethyl]Amino}Methylidene)-1,1',6,6'-Tetrahydroxy-5,5'-Diisopropyl-3,3'-Dimethyl-7,7'-Dioxo-[2,2'-Binaphthalen]-8-Ylidene]Methyl}Amino)-3-(1H-Imidazol-4-Yl)Propanoate",[O-]C(=O)[C@H](Cc1c[nH]cn1)N/C=C/1\C(=O)C(=C(c2c1c(O)c(c(c2)C)c1c(C)cc2c(c1O)/C(=C/N[C@H](C(=O)[O-])Cc1c[nH]cn1)/C(=O)C(=C2C(C)C)O)C(C)C)O.[Na+].[Na+],LDFSUDVUNQUJBG-KAIMEOOISA-L,10.1016/j.bmcl.2011.12.076,Homo sapiens,,,,,,,,Fluorescence spectroscopy,,,67210,,,,,,,,CHEMBL,CHEMBL1949743,CHEMBL1953042
775,"Disodium (2S)-2-({[(8Z,8'Z)-8'-({[(1S)-1-Carboxylato-2-(1H-Indol-3-Yl)Ethyl]Amino}Methylidene)-1,1',6,6'-Tetrahydroxy-5,5'-Diisopropyl-3,3'-Dimethyl-7,7'-Dioxo-[2,2'-Binaphthalen]-8-Ylidene]Methyl}Amino)-3-(1H-Indol-3-Yl)Propanoate",[O-]C(=O)[C@H](Cc1c[nH]c2c1cccc2)N/C=C/1\C(=O)C(=C(c2c1c(O)c(c(c2)C)c1c(C)cc2c(c1O)/C(=C/N[C@H](C(=O)[O-])Cc1c[nH]c3c1cccc3)/C(=O)C(=C2C(C)C)O)C(C)C)O.[Na+].[Na+],CMPCICYAYGLOTN-XZMJRBQKSA-L,10.1016/j.bmcl.2011.12.076,Homo sapiens,,,,,,,,Fluorescence spectroscopy,,,92750,,,,,,,,CHEMBL,CHEMBL1949746,CHEMBL1953042
776,"Disodium (2S)-2-({[(8Z,8'Z)-8'-({[(1S)-1-Carboxylato-2-(4-Hydroxyphenyl)Ethyl]Amino}Methylidene)-1,1',6,6'-Tetrahydroxy-5,5'-Diisopropyl-3,3'-Dimethyl-7,7'-Dioxo-[2,2'-Binaphthalen]-8-Ylidene]Methyl}Amino)-3-(4-Hydroxyphenyl)Propanoate",[O-]C(=O)[C@H](Cc1ccc(cc1)O)N/C=C/1\C(=O)C(=C(c2c1c(O)c(c(c2)C)c1c(C)cc2c(c1O)/C(=C/N[C@H](C(=O)[O-])Cc1ccc(cc1)O)/C(=O)C(=C2C(C)C)O)C(C)C)O.[Na+].[Na+],JXIVDIYFAJKPFD-RMEKHVIMSA-L,10.1016/j.bmcl.2011.12.076,Homo sapiens,,,,,,,,Fluorescence spectroscopy,,,75350,,,,,,,,CHEMBL,CHEMBL1949754,CHEMBL1953042
777,"Disodium (2S)-2-({[(8Z,8'Z)-8'-({[(1S)-1-Carboxylato-2-Hydroxyethyl]Amino}Methylidene)-1,1',6,6'-Tetrahydroxy-5,5'-Diisopropyl-3,3'-Dimethyl-7,7'-Dioxo-[2,2'-Binaphthalen]-8-Ylidene]Methyl}Amino)-3-Hydroxypropanoate",OC[C@@H](C(=O)[O-])N/C=C/1\C(=O)C(=C(c2c1c(O)c(c(c2)C)c1c(C)cc2c(c1O)/C(=C/N[C@H](C(=O)[O-])CO)/C(=O)C(=C2C(C)C)O)C(C)C)O.[Na+].[Na+],FJOAHRJERGYTNT-SNIOXSNQSA-L,10.1016/j.bmcl.2011.12.076,Homo sapiens,,,,,,,,Fluorescence spectroscopy,,,57760,,,,,,,,CHEMBL,CHEMBL1952323,CHEMBL1953042
778,"Disodium (2S)-2-({[(8Z,8'Z)-8'-({[(1S)-1-Carboxylato-2-Methylpropyl]Amino}Methylidene)-1,1',6,6'-Tetrahydroxy-5,5'-Diisopropyl-3,3'-Dimethyl-7,7'-Dioxo-[2,2'-Binaphthalen]-8-Ylidene]Methyl}Amino)-3-Methylbutanoate",CC([C@@H](C(=O)[O-])N/C=C/1\C(=O)C(=C(c2c1c(O)c(c(c2)C)c1c(C)cc2c(c1O)/C(=C/N[C@H](C(=O)[O-])C(C)C)/C(=O)C(=C2C(C)C)O)C(C)C)O)C.[Na+].[Na+],FHKOBPNIDKAZEX-WLIPMBIMSA-L,10.1016/j.bmcl.2011.12.076,Homo sapiens,,,,,,,,Fluorescence spectroscopy,,,211400,,,,,,,,CHEMBL,CHEMBL1949749,CHEMBL1953042
779,"Disodium (2S)-2-({[(8Z,8'Z)-8'-({[(1S)-1-Carboxylato-3-Methylbutyl]Amino}Methylidene)-1,1',6,6'-Tetrahydroxy-5,5'-Diisopropyl-3,3'-Dimethyl-7,7'-Dioxo-[2,2'-Binaphthalen]-8-Ylidene]Methyl}Amino)-4-Methylpentanoate",CC(C[C@@H](C(=O)[O-])N/C=C/1\C(=O)C(=C(c2c1c(O)c(c(c2)C)c1c(C)cc2c(c1O)/C(=C/N[C@H](C(=O)[O-])CC(C)C)/C(=O)C(=C2C(C)C)O)C(C)C)O)C.[Na+].[Na+],LNMLGGSDDMYPOE-PBJMBUKLSA-L,10.1016/j.bmcl.2011.12.076,Homo sapiens,,,,,,,,Fluorescence spectroscopy,,,13480,,,,,,,,CHEMBL,CHEMBL1952322,CHEMBL1953042
780,"Disodium (2S)-2-({[(8Z,8'Z)-8'-({[(1S)-1-Carboxylatoethyl]Amino}Methylidene)-1,1',6,6'-Tetrahydroxy-5,5'-Diisopropyl-3,3'-Dimethyl-7,7'-Dioxo-[2,2'-Binaphthalen]-8-Ylidene]Methyl}Amino)Propanoate",[O-]C(=O)[C@@H](N/C=C/1\C(=O)C(=C(c2c1c(O)c(c(c2)C)c1c(C)cc2c(c1O)/C(=C/N[C@H](C(=O)[O-])C)/C(=O)C(=C2C(C)C)O)C(C)C)O)C.[Na+].[Na+],FRIZPYDNPWCOCB-AEWOUDLUSA-L,10.1016/j.bmcl.2011.12.076,Homo sapiens,,,,,,,,Fluorescence spectroscopy,,,103900,,,,,,,,CHEMBL,CHEMBL1949747,CHEMBL1953042
781,"Disodium (2S)-2-({[(8Z,8'Z)-8'-({[(S)-Carboxylato(Phenyl)Methyl]Amino}Methylidene)-1,1',6,6'-Tetrahydroxy-5,5'-Diisopropyl-3,3'-Dimethyl-7,7'-Dioxo-[2,2'-Binaphthalen]-8-Ylidene]Methyl}Amino)-2-Phenylacetate",[O-]C(=O)[C@H](c1ccccc1)N/C=C/1\C(=O)C(=C(c2c1c(O)c(c(c2)C)c1c(C)cc2c(c1O)/C(=C/N[C@@H](c1ccccc1)C(=O)[O-])/C(=O)C(=C2C(C)C)O)C(C)C)O.[Na+].[Na+],CABVECSDOJXKKM-GZLNWPBASA-L,10.1016/j.bmcl.2011.12.076,Homo sapiens,,,,,,,,Fluorescence spectroscopy,,,14010,,,,,,,,CHEMBL,CHEMBL1949751,CHEMBL1953042
